trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.03539680001267698,,0.007837100012693554,0.03539680001267698,1.0540334000106668,1.058214400007273,2.066666600003373,0,up,1,1.0093944999971427,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
1,0,1,0,2.081440300011309,,2.0719718000036664,2.081440300011309,3.081482400011737,3.081482400011737,3.7838931000005687,0,down,0,0.690218100004131,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
2,0,2,0,3.797753900013049,,3.7868038000015076,3.797753900013049,4.79758720000973,4.79758720000973,5.4326847000047565,-4,down,1,0.6219105999916792,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
3,0,3,0,5.447433200009982,,5.435762400011299,5.447433200009982,6.447638000012375,6.447638000012375,7.132334600013564,-3,down,1,0.6731781999988016,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
4,0,4,0,7.146607200003928,,7.135700200000429,7.146607200003928,8.146920400002273,8.146920400002273,8.733364800005802,-5,down,1,0.5762060999986716,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
5,0,5,0,8.746620200006873,,8.736528400011593,8.746620200006873,9.74647840000398,9.74647840000398,10.581822000007378,3,up,0,0.8303460000024643,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
6,0,6,0,10.596309800006566,,10.583976200010511,10.596309800006566,11.596370000013849,11.596370000013849,12.280743600000278,-5,down,1,0.675867499987362,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
7,0,7,0,12.295657800001209,,12.28294870001264,12.295657800001209,13.29590760001156,13.29590760001156,13.981491400001687,0,up,0,0.6821869999985211,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
8,0,8,0,13.995223000005353,,13.9841274000064,13.995223000005353,14.995526200000313,14.995526200000313,15.580672399999457,-2,up,0,0.570188199999393,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
9,0,9,0,15.594916400004877,,15.583418600013829,15.594916400004877,16.595154000009643,16.595154000009643,17.180821000001743,0,up,1,0.5820398000068963,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
10,0,10,0,17.19487960000697,,17.183691900005215,17.19487960000697,18.19495450000977,18.19495450000977,18.764414300007047,-4,down,1,0.5549456000007922,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
11,0,11,0,18.777754800001276,,18.767213900006027,18.777754800001276,19.777882900001714,19.777882900001714,20.312491300006513,-3,down,1,0.5189474000071641,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
12,0,12,0,20.32733100000769,,20.315377800012357,20.32733100000769,21.32760830000916,21.32760830000916,22.063372900011018,0,down,0,0.7331436999957077,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
13,0,13,0,22.077050400010194,,22.066001200000755,22.077050400010194,23.077195700010634,23.077195700010634,23.64566670000204,4,down,1,0.5612881000124617,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
14,0,14,0,23.66028880000522,,23.64913350000279,23.66028880000522,24.66016500000842,24.66016500000842,25.378441900000325,0,up,1,0.7095874000078766,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
15,0,15,0,25.39320510000107,,25.380699600005755,25.39320510000107,26.393174100012402,26.393174100012402,26.894327700007125,0,up,1,0.49636289999762084,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
16,0,16,0,26.90943810000317,,26.896973000009893,26.90943810000317,27.909662000005483,27.909662000005483,28.594647800011444,1,down,1,0.6755956999986665,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
17,0,17,0,28.609510300011607,,28.597122800012585,28.609510300011607,29.609248799999477,29.609248799999477,30.461361000008765,0,down,0,0.8498742000083439,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
18,0,18,0,30.475276900004246,,30.464260700013256,30.475276900004246,31.475494900005287,31.475494900005287,32.027434500007075,-4,down,1,0.5411844000045676,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
19,0,19,0,32.04164780001156,,32.03075870001339,32.04164780001156,33.0418367000093,33.0418367000093,33.71107970000594,0,down,0,0.6648006999894278,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
20,0,20,0,33.72476960001222,,33.714053800009424,33.72476960001222,34.72449469999992,34.72449469999992,35.410058600013144,-4,down,1,0.6820014000113588,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
21,0,21,0,35.42391200001293,,35.4142647000117,35.42391200001293,36.42423630000849,36.42423630000849,37.326399700003094,0,up,1,0.8983195000037085,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
22,0,22,0,37.34060700000555,,37.328720400008024,37.34060700000555,38.34052250000241,38.34052250000241,39.32540470000822,3,down,1,0.9695193999941694,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
23,0,23,0,39.34016669999983,,39.32859720000124,39.34016669999983,40.34035360001144,40.34035360001144,40.892158800008474,0,up,1,0.5486126000032527,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
24,0,24,0,40.90650040000037,,40.89511530000891,40.90650040000037,41.906517100011115,41.906517100011115,42.45854500000132,3,down,1,0.5436495000030845,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
